EmployeeCode,LogDateTime,LogDate,LogTime,Direction
70000,2021-03-26 19:02:58,2021-03-26,19:02:58.0000000,in
1000102,2021-03-26 19:17:03,2021-03-26,19:17:03.0000000,out
70000,2021-03-26 19:19:38,2021-03-26,19:19:38.0000000,out
70000,2021-03-26 19:20:07,2021-03-26,19:20:07.0000000,in
70000,2021-03-26 19:23:42,2021-03-26,19:23:42.0000000,out
70000,2021-03-26 20:13:56,2021-03-26,20:13:56.0000000,in
1000102,2021-03-26 20:14:15,2021-03-26,20:14:15.0000000,in
70000,2021-03-26 20:18:31,2021-03-26,20:18:31.0000000,out
70000,2021-03-26 20:18:36,2021-03-26,20:18:36.0000000,in
70000,2021-03-26 20:24:54,2021-03-26,20:24:54.0000000,out
70000,2021-03-27 08:05:45,2021-03-27,08:05:45.0000000,in
70000,2021-03-27 08:12:24,2021-03-27,08:12:24.0000000,out
1123,2021-03-27 09:25:58,2021-03-27,09:25:58.0000000,in
70000,2021-03-27 09:26:32,2021-03-27,09:26:32.0000000,in
1123,2021-03-27 09:26:40,2021-03-27,09:26:40.0000000,out
1123,2021-03-27 09:26:43,2021-03-27,09:26:43.0000000,in
70000,2021-03-27 09:28:51,2021-03-27,09:28:51.0000000,out
70000,2021-03-27 09:29:21,2021-03-27,09:29:21.0000000,in
70000,2021-03-27 09:44:49,2021-03-27,09:44:49.0000000,out
70000,2021-03-27 09:45:28,2021-03-27,09:45:28.0000000,in
0019,2021-03-27 09:45:36,2021-03-27,09:45:36.0000000,out
0019,2021-03-27 09:46:04,2021-03-27,09:46:04.0000000,in
70000,2021-03-27 09:46:19,2021-03-27,09:46:19.0000000,out
70000,2021-03-27 10:07:31,2021-03-27,10:07:31.0000000,in
1002,2021-03-27 10:13:01,2021-03-27,10:13:01.0000000,in
1001,2021-03-27 10:15:04,2021-03-27,10:15:04.0000000,in
0019,2021-03-27 10:36:19,2021-03-27,10:36:19.0000000,out
0019,2021-03-27 10:38:17,2021-03-27,10:38:17.0000000,in
0019,2021-03-27 11:00:06,2021-03-27,11:00:06.0000000,out
0019,2021-03-27 11:00:12,2021-03-27,11:00:12.0000000,in
1184,2021-03-27 11:00:46,2021-03-27,11:00:46.0000000,out
1184,2021-03-27 11:00:50,2021-03-27,11:00:50.0000000,in
1184,2021-03-27 12:04:09,2021-03-27,12:04:09.0000000,out
70000,2021-03-27 14:58:16,2021-03-27,14:58:16.0000000,out
70000,2021-03-27 14:58:19,2021-03-27,14:58:19.0000000,in
0019,2021-03-27 15:16:35,2021-03-27,15:16:35.0000000,out
0019,2021-03-27 15:17:18,2021-03-27,15:17:18.0000000,in
0019,2021-03-27 15:28:06,2021-03-27,15:28:06.0000000,out
0019,2021-03-27 15:30:57,2021-03-27,15:30:57.0000000,in
70000,2021-03-27 15:35:17,2021-03-27,15:35:17.0000000,out
70000,2021-03-27 16:39:58,2021-03-27,16:39:58.0000000,in
70000,2021-03-27 16:45:22,2021-03-27,16:45:22.0000000,out
1123,2021-03-27 16:51:27,2021-03-27,16:51:27.0000000,out
0019,2021-03-27 16:51:32,2021-03-27,16:51:32.0000000,out
70000,2021-03-27 18:07:34,2021-03-27,18:07:34.0000000,in
70000,2021-03-27 20:12:54,2021-03-27,20:12:54.0000000,out
70000,2021-03-28 08:37:06,2021-03-28,08:37:06.0000000,in
70000,2021-03-28 08:48:12,2021-03-28,08:48:12.0000000,out
70000,2021-03-28 09:03:23,2021-03-28,09:03:23.0000000,in
70000,2021-03-28 09:46:58,2021-03-28,09:46:58.0000000,out
70000,2021-03-28 17:14:52,2021-03-28,17:14:52.0000000,in
70000,2021-03-28 17:59:31,2021-03-28,17:59:31.0000000,out
70000,2021-03-28 18:17:56,2021-03-28,18:17:56.0000000,in
70000,2021-03-28 19:46:39,2021-03-28,19:46:39.0000000,out
70000,2021-03-29 07:21:19,2021-03-29,07:21:19.0000000,in
70000,2021-03-29 08:09:47,2021-03-29,08:09:47.0000000,out
00021,2021-03-29 08:45:06,2021-03-29,08:45:06.0000000,in
00015,2021-03-29 08:52:32,2021-03-29,08:52:32.0000000,in
1289,2021-03-29 08:55:31,2021-03-29,08:55:31.0000000,in
00020,2021-03-29 08:57:07,2021-03-29,08:57:07.0000000,in
1141,2021-03-29 08:57:21,2021-03-29,08:57:21.0000000,in
00026,2021-03-29 08:59:49,2021-03-29,08:59:49.0000000,in
00025,2021-03-29 08:59:54,2021-03-29,08:59:54.0000000,in
00019,2021-03-29 08:59:57,2021-03-29,08:59:57.0000000,in
00024,2021-03-29 09:06:38,2021-03-29,09:06:38.0000000,in
052,2021-03-29 09:11:20,2021-03-29,09:11:20.0000000,in
1285,2021-03-29 09:13:47,2021-03-29,09:13:47.0000000,in
3333,2021-03-29 09:14:01,2021-03-29,09:14:01.0000000,in
1002,2021-03-29 09:21:06,2021-03-29,09:21:06.0000000,out
1002,2021-03-29 09:21:09,2021-03-29,09:21:09.0000000,in
1290,2021-03-29 09:21:50,2021-03-29,09:21:50.0000000,in
1123,2021-03-29 09:22:10,2021-03-29,09:22:10.0000000,in
0019,2021-03-29 09:25:40,2021-03-29,09:25:40.0000000,in
1271,2021-03-29 09:37:58,2021-03-29,09:37:58.0000000,in
0755,2021-03-29 09:45:59,2021-03-29,09:45:59.0000000,out
0755,2021-03-29 09:46:03,2021-03-29,09:46:03.0000000,in
1259,2021-03-29 09:46:51,2021-03-29,09:46:51.0000000,in
0888,2021-03-29 09:54:55,2021-03-29,09:54:55.0000000,in
0019,2021-03-29 10:18:27,2021-03-29,10:18:27.0000000,out
1272,2021-03-29 10:30:03,2021-03-29,10:30:03.0000000,in
1184,2021-03-29 10:46:46,2021-03-29,10:46:46.0000000,in
1290,2021-03-29 14:34:41,2021-03-29,14:34:41.0000000,out
0888,2021-03-29 14:44:17,2021-03-29,14:44:17.0000000,out
